# Rime user dictionary
#@/db_name	ounei_copy
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	11579
#@/user_id	TAKUSEI-DESKTOP
b;[ah 	柄	c=1 d=1 t=8048
cs[rr ll[hm 	從來	c=1 d=1 t=10562
cs[rr qm[bo 	從前	c=1 d=1 t=10577
cs[rr tb[dd 	從頭	c=1 d=1 t=10708
cs[rr ve[wz li[ot 	從這裏	c=1 d=1 t=1231
cs[rr wz[ha 	從未	c=1 d=1 t=3693
cu[mq 	粗	c=0 d=0.1 t=11364
cu[mq bk[og 	粗暴	c=1 d=1 t=1303
cu[mq lu[yo 	粗魯	c=1 d=1 t=1465
cv[od ua[dy 	脆鯊	c=1 d=1 t=6579
cv[ru ug[pf 	催生	c=2 d=1.1367 t=3564
d;[dy 	頂	c=4 d=1 t=11397
d;[dy ji[sj 	頂級	c=7 d=3.64366 t=9309
d;[dy ui[uj jc[do 	頂視角	c=2 d=1 t=3442
d;[gp ly[ry 	定律	c=2 d=1.96079 t=5097
d;[gp yi[di 	定義	c=3 d=1.18697 t=3679
d;[hu 	丁	c=2 d=1 t=11479
da[dz bu[eu dk[hd 	達不到	c=1 d=1 t=10461
da[dz ig[wv 	達成	c=2 d=1.20393 t=1625
da[fc 	搭	c=4 d=1.12431 t=5033
da[fc pz[yk 	搭配	c=1 d=1 t=3660
da[fd 	打	c=57 d=1.00616 t=11439
da[fd bo[cd 	打薄	c=1 d=1 t=11359
da[fd co[jg le[vu 	打錯了	c=1 d=1 t=8846
da[fd da[fd 	打打	c=1 d=1 t=10280
da[fd dk[rh 	打倒	c=1 d=1 t=2357
da[fd dr[mj 	打斷	c=1 d=1 t=4498
da[fd ds[el 	打動	c=1 d=1 t=3296
da[fd fa[dt 	打法	c=1 d=1 t=9340
da[fd ff[bd 	打分	c=3 d=2.94575 t=1813
da[fd ge[ru 	打個	c=1 d=1.03151 t=8020
da[fd ge[ru bk[bk 	打個包	c=1 d=1 t=5034
da[fd ge[ru vk[fd hu[kp 	打個招呼	c=1 d=1 t=7790
da[fd go[cz 	打過	c=3 d=1.93281 t=9644
da[fd ig[wv 	打成	c=1 d=1 t=2282
da[fd iu[ck 	打出	c=6 d=2.20969 t=8314
da[fd jn[ez 	打進	c=1 d=1 t=7067
da[fd kl[hc 	打開	c=11 d=1 t=9044
da[fd le[vu 	打了	c=3 d=1.46767 t=9547
da[fd mj[dc 	打滿	c=1 d=1 t=200
da[fd mo[ge 	打磨	c=1 d=1 t=5811
da[fd qi[zk ll[hm 	打起來	c=1 d=1 t=9488
da[fd sr[vm 	打算	c=1 d=1 t=3859
da[fd sv[ew 	打碎	c=2 d=1.97531 t=6344
da[fd tb[dd 	打頭	c=1 d=1 t=8814
da[fd vd[ag 	打樁	c=1 d=1 t=11497
da[fd ve[fj 	打折	c=2 d=1.07808 t=9694
da[fd wj[ge 	打完	c=1 d=1 t=9439
da[fd wl[bh 	打歪	c=1 d=1 t=8811
da[fd yb[df xi[yg 	打遊戲	c=1 d=1 t=10440
da[fd yi[hh 	打一	c=0 d=0.1 t=6655
da[fd yi[hh ba[fb 	打一把	c=1 d=1 t=7458
da[fd yi[hh ju[uv 	打一局	c=1 d=1 t=6656
da[fd zi[gz 	打字	c=2 d=1 t=7831
da[fd zl[ut 	打在	c=1 d=1 t=8195
da[hr 	大	c=0 d=0.1 t=9552
da[hr bc[jx ke[gw 	大鏢客	c=1 d=1 t=9553
da[hr bu[le ff[bd 	大部分	c=3 d=1 t=10327
da[hr cs[cb 	大蔥	c=2 d=1.99005 t=2441
da[hr db[te 	大都	c=3 d=1.00001 t=8130
da[hr dj[oo 	大膽	c=1 d=1.003 t=983
da[hr dk[dm 	大盜	c=1 d=1 t=7493
da[hr do[xx uu[mw 	大多數	c=1 d=1 t=3285
da[hr fa[vy 	大發	c=1 d=1 t=9341
da[hr gb[qb 	大狗	c=1 d=1 t=4055
da[hr gh[sk 	大綱	c=3 d=2.51734 t=6405
